head := query_30Centriod
743-th query  distance:=47100.3
744-th query  distance:=33907.4
745-th query  distance:=66848.2
746-th query  distance:=46023.7
747-th query  distance:=21373.9
748-th query  distance:=51062.3
749-th query  distance:=8282.61
750-th query  distance:=24505.3
751-th query  distance:=32609.2
752-th query  distance:=2657.83
753-th query  distance:=70134.1
754-th query  distance:=49332.6
755-th query  distance:=74291.8
756-th query  distance:=46215.6
757-th query  distance:=73558.3
758-th query  distance:=11246.9
759-th query  distance:=77904.5
760-th query  distance:=48680.6
761-th query  distance:=58164.3
762-th query  distance:=50891.7
763-th query  distance:=55124.6
764-th query  distance:=65254.4
765-th query  distance:=55347.8
766-th query  distance:=35494.4
767-th query  distance:=72120.1
768-th query  distance:=53639
769-th query  distance:=48825.7
770-th query  distance:=50061.3
771-th query  distance:=51665.5
772-th query  distance:=56379.8
773-th query  distance:=46920.3
774-th query  distance:=60781.9
775-th query  distance:=35633.6
776-th query  distance:=51959.3
777-th query  distance:=13381.6
778-th query  distance:=49595.9
779-th query  distance:=29981.9
780-th query  distance:=60834.9
781-th query  distance:=57997.2
782-th query  distance:=41889.4
783-th query  distance:=47312.6
784-th query  distance:=20077.1
785-th query  distance:=29022.1
786-th query  distance:=30042.4
787-th query  distance:=62113.7
788-th query  distance:=20525.4
789-th query  distance:=65713
790-th query  distance:=43185.1
791-th query  distance:=25492.4
792-th query  distance:=54321
793-th query  distance:=46084.9
794-th query  distance:=52775.8
795-th query  distance:=36246.3
796-th query  distance:=48326.6
797-th query  distance:=56495
798-th query  distance:=57944.8
799-th query  distance:=59234.4
800-th query  distance:=50414.9
801-th query  distance:=45104.4
802-th query  distance:=26349.9
803-th query  distance:=47652.3
804-th query  distance:=30144.8
805-th query  distance:=38492.2
806-th query  distance:=56176.9
807-th query  distance:=36544.4
808-th query  distance:=39502.2
809-th query  distance:=30673.1
810-th query  distance:=50923.4
811-th query  distance:=54582.1
812-th query  distance:=32524.8
813-th query  distance:=42592.1
814-th query  distance:=61965.3
815-th query  distance:=13368.6
816-th query  distance:=24945.9
817-th query  distance:=57979.5
818-th query  distance:=52048.5
819-th query  distance:=70297.4
820-th query  distance:=47327.9
821-th query  distance:=56650.3
822-th query  distance:=52976.4
823-th query  distance:=19501
824-th query  distance:=55795.3
825-th query  distance:=50104.1
826-th query  distance:=44900.6
827-th query  distance:=52822.5
828-th query  distance:=35270.1
829-th query  distance:=38984.8
830-th query  distance:=42371.6
831-th query  distance:=58042.5
832-th query  distance:=41741.2
833-th query  distance:=55155.3
834-th query  distance:=62024.4
835-th query  distance:=41473.1
836-th query  distance:=54595
837-th query  distance:=33633.8
838-th query  distance:=66038.3
839-th query  distance:=14115
840-th query  distance:=24622.4
841-th query  distance:=54560.4
842-th query  distance:=52069.8
843-th query  distance:=62374.1
844-th query  distance:=53690.4
845-th query  distance:=20588.1
846-th query  distance:=1360.67
